,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
400,21110,10,13,15,24,31,32,02
401,21109,02,03,10,17,20,26,16
402,21108,11,15,18,24,26,32,09
403,21107,02,03,17,19,25,30,01
404,21106,01,04,07,14,30,31,03
405,21105,10,14,15,22,27,32,09
406,21104,01,07,17,20,22,28,15
407,21103,10,13,15,25,29,30,15
408,21102,05,09,15,24,27,30,09
409,21101,02,04,12,22,29,31,01
410,21100,07,09,12,13,14,29,16
411,21099,09,11,17,18,20,27,15
412,21098,01,10,13,18,26,32,05
413,21097,03,11,12,13,25,28,12
414,21096,01,07,11,14,15,26,11
415,21095,08,12,17,24,27,28,13
416,21094,09,11,24,25,28,33,15
417,21093,05,11,15,23,28,33,03
418,21092,02,07,08,10,12,31,03
419,21091,04,06,16,24,26,33,16
420,21090,05,06,12,14,27,28,08
421,21089,01,02,07,13,23,24,12
422,21088,04,12,15,16,19,26,06
423,21087,02,13,16,19,23,24,04
424,21086,06,08,10,14,28,29,01
425,21085,05,06,07,11,14,20,02
426,21084,05,07,09,11,21,28,01
427,21083,04,09,11,25,28,33,04
428,21082,03,06,11,13,26,32,05
429,21081,01,03,05,18,22,23,01
430,21080,05,08,22,23,24,29,09
431,21079,01,03,10,24,28,29,13
432,21078,04,06,15,26,27,31,12
433,21077,08,15,17,25,27,30,10
434,21076,03,09,21,23,30,32,06
435,21075,12,15,16,21,22,29,01
436,21074,04,05,09,14,25,27,07
437,21073,01,06,18,22,24,25,08
438,21072,01,09,15,16,19,21,15
439,21071,01,07,24,31,32,33,08
440,21070,01,05,11,15,16,29,15
441,21069,06,11,18,20,23,26,05
442,21068,04,14,18,24,31,32,15
443,21067,01,11,19,23,25,29,09
444,21066,02,06,19,26,30,33,15
445,21065,01,04,08,19,29,33,16
446,21064,04,06,08,15,16,18,16
447,21063,04,05,06,09,23,24,09
448,21062,12,13,15,20,22,25,10
449,21061,04,09,12,18,20,23,01
450,21060,10,11,17,20,29,30,15
451,21059,01,09,11,18,32,33,14
452,21058,09,11,13,18,19,28,14
453,21057,05,06,09,17,25,33,16
454,21056,08,21,22,23,29,32,01
455,21055,03,11,12,16,22,28,10
456,21054,07,13,21,22,24,31,02
457,21053,07,10,14,16,24,33,16
458,21052,03,04,06,19,21,30,14
459,21051,08,09,10,19,27,29,15
460,21050,02,09,10,16,25,28,08
461,21049,04,11,13,22,25,32,01
462,21048,04,15,17,22,29,32,03
463,21047,03,07,13,16,24,29,01
464,21046,05,09,13,21,28,33,06
465,21045,01,04,14,15,17,32,02
466,21044,05,07,14,17,26,28,13
467,21043,02,03,17,18,23,24,01
468,21042,05,09,10,22,25,27,08
469,21041,02,09,18,23,26,32,14
470,21040,02,06,07,24,28,29,16
471,21039,02,08,21,24,29,31,13
472,21038,05,07,09,16,18,27,06
473,21037,13,17,19,24,26,30,12
474,21036,01,02,06,11,21,26,11
475,21035,12,14,18,20,26,28,11
476,21034,04,10,12,18,23,25,01
477,21033,02,12,13,14,31,33,06
478,21032,01,05,08,15,16,30,03
479,21031,06,11,21,25,28,31,07
480,21030,08,09,13,27,29,31,05
481,21029,08,10,15,17,22,30,12
482,21028,11,16,23,26,27,33,05
483,21027,05,07,09,16,20,26,08
484,21026,03,05,13,19,20,25,03
485,21025,06,08,14,17,18,30,11
486,21024,01,04,06,10,11,18,02
487,21023,02,21,22,23,27,28,11
488,21022,10,15,17,25,31,32,06
489,21021,04,08,17,24,28,33,13
490,21020,01,03,06,07,09,11,02
491,21019,12,16,17,24,28,29,08
492,21018,02,08,14,23,25,32,06
493,21017,09,15,18,29,32,33,02
494,21016,03,08,09,13,15,18,10
495,21015,06,14,16,26,28,29,07
496,21014,04,15,21,25,29,33,06
497,21013,06,09,12,16,27,31,06
498,21012,03,06,14,18,20,26,01
499,21011,05,10,16,23,27,33,14
500,21010,01,04,11,19,32,33,05
501,21009,02,04,07,24,25,32,13
502,21008,01,05,07,14,18,33,07
503,21007,02,04,12,21,25,32,16
504,21006,06,08,22,24,25,26,01
505,21005,07,09,14,26,30,31,04
506,21004,02,03,07,08,17,22,15
507,21003,06,09,16,18,22,29,11
508,21002,06,10,13,25,26,32,11
509,21001,02,03,13,18,20,31,11
510,20134,02,09,10,20,22,26,01
511,20133,03,19,22,23,27,29,07
512,20132,01,04,11,12,14,23,04
513,20131,08,19,22,26,27,30,07
514,20130,08,09,11,14,17,29,16
515,20129,01,02,05,15,28,33,04
516,20128,08,10,15,16,23,26,10
517,20127,01,04,18,19,26,31,07
518,20126,03,07,12,14,23,28,11
519,20125,05,12,16,26,30,31,13
520,20124,16,18,19,20,29,33,12
521,20123,01,03,18,19,26,29,03
522,20122,12,15,17,24,26,31,15
523,20121,02,04,06,21,25,29,03
524,20120,01,02,03,04,09,10,12
525,20119,01,09,22,28,32,33,15
526,20118,11,13,19,26,30,33,05
527,20117,07,08,09,10,16,27,07
528,20116,05,06,14,16,19,27,10
529,20115,01,04,12,20,25,32,02
530,20114,01,05,11,24,30,32,03
531,20113,01,03,07,10,22,32,11
532,20112,02,09,12,17,28,32,05
533,20111,06,09,17,22,24,26,16
534,20110,02,06,09,14,22,25,04
